Date,Close,High,Low,Open,Volume
,MKR-USD,MKR-USD,MKR-USD,MKR-USD,MKR-USD
2023-04-29,709.2792358398438,712.5709838867188,697.3025512695312,698.9194946289062,15885675
2023-04-30,695.3102416992188,709.2864990234375,692.783203125,709.2864990234375,16913131
2023-05-01,702.2415161132812,704.9573364257812,680.1145629882812,695.326171875,22678213
2023-05-02,699.9617919921875,714.18896484375,699.5435791015625,702.2975463867188,21721568
2023-05-03,699.17041015625,700.9593505859375,684.4616088867188,699.9622192382812,17209621
2023-05-04,689.455078125,704.3818969726562,686.8817749023438,699.2142333984375,13975393
2023-05-05,725.88818359375,730.2113647460938,688.2559814453125,689.5125122070312,27345459
2023-05-06,691.8599853515625,732.468505859375,685.7591552734375,725.9590454101562,23982853
2023-05-07,696.7864990234375,705.586181640625,689.6276245117188,691.8311767578125,18367091
2023-05-08,669.2378540039062,700.6461791992188,653.18310546875,696.6060791015625,27098810
2023-05-09,671.84521484375,675.1396484375,665.0662841796875,669.161376953125,19100501
2023-05-10,660.5401611328125,677.4514770507812,644.3678588867188,671.870361328125,20865497
2023-05-11,622.2581787109375,660.6427001953125,610.8211669921875,660.6427001953125,20612997
2023-05-12,638.0523071289062,639.8960571289062,613.1165161132812,622.2425537109375,29845292
2023-05-13,632.569580078125,638.347412109375,628.6863403320312,638.0479736328125,24767535
2023-05-14,626.3826904296875,637.4049072265625,624.0418701171875,632.4406127929688,21713167
2023-05-15,637.2470703125,645.0975341796875,621.2633666992188,626.3822631835938,15172332
2023-05-16,633.170654296875,640.6901245117188,624.7116088867188,637.250732421875,20543796
2023-05-17,639.53662109375,642.250244140625,625.0579223632812,633.2021484375,13436548
2023-05-18,626.032958984375,640.2579345703125,618.9995727539062,639.5094604492188,12454815
2023-05-19,627.9513549804688,631.7102661132812,623.4523315429688,626.0905151367188,10427856
2023-05-20,625.5751342773438,628.5391845703125,622.8190307617188,627.9999389648438,12260558
2023-05-21,623.653564453125,627.4407348632812,619.8768920898438,625.6190185546875,10290023
2023-05-22,629.5314331054688,630.1248779296875,617.2539672851562,623.6736450195312,11316972
2023-05-23,633.90234375,641.8811645507812,629.3528442382812,629.49267578125,11940466
2023-05-24,618.8056640625,633.9358520507812,609.9847412109375,633.9337768554688,13323228
2023-05-25,624.5523071289062,630.1734008789062,606.6873779296875,618.7027587890625,13515233
2023-05-26,624.622802734375,627.1544189453125,619.5660400390625,624.5418090820312,11891642
2023-05-27,633.9202270507812,634.496826171875,624.2353515625,624.625732421875,14079191
2023-05-28,648.1211547851562,649.5945434570312,632.0214233398438,633.8926391601562,14472342
2023-05-29,637.0950927734375,653.7675170898438,635.0149536132812,648.1764526367188,14351137
